Name,Case,Stakeholder,Node,Net Effects,Description,Value,Scale,Inputs/Outputs,Notes,Unit ID,Table 3,Comparisons copy,Subgroup
Regulatory Environment-ICRC-User,ICRC,User,Context,Regulatory Environment,"Overarching regime protects beneficiaries to the utmost. However, national protections may be in conflict, and norms may not support use of software. Beneficiaries also have very little recourse to respond to security failures, or advocate for protections.",Somewhat Strong,Weak-Strong,,,55,,,
Threat Environment-ICRC-User,ICRC,User,Context,Threat Environment,"Threat surface varies widely by user-base, e.g. country and environment. Target value is variable, although users are highly vulnerable.",Risky,Risky-Stable,,,56,,,
Operational Environment-ICRC-User,ICRC,User,Context,Operational Environment,"Users rely on software for emergency situations, and use cases are heterogeneous, requiring customization. 
Hierarchy is medium power distance, users access software directly through Red Cross National Societies, but probably don't connect with developers at ICRC.",Challenging,Challenging-Simple,,,57,,,
Regulatory Environment-ICRC-Software Producer,ICRC,Software Producer,Context,Regulatory Environment,"Multiple regimes to adhere to, international and national for ICRC, plus national where software is deployed. Strict internal regulations stemming from history of the org. Complex technical challenges to deliver software. 

Failure to comply could mean they cannot deliver pre-emptively (blocked by national government), or could threaten users directly (e.g. if government wants access to data).",Strict,Lenient-Strict,,,58,"Comparison 1-,Comparison 6-",,
Threat Environment-ICRC-Software Producer,ICRC,Software Producer,Context,Threat Environment,"Highly variable threat surface, deployment is in different countries with different needs, different regimes, and different potential attackers.",Risky,Risky-Stable,,,59,Comparison 1-Antecedent,,
Operational Environment-ICRC-Software Producer,ICRC,Software Producer,Context,Operational Environment,Mission compliance over commercial viability. Must cooperate with on-site users (National Societies) for implementation.,Neither Challenging Nor Simple,Challenging-Simple,,,60,,,
Regulatory Environment-ICRC-Regulator,ICRC,Regulator,Context,Regulatory Environment,"Internal and international regimes provide strict guards on actions. In-country requirements also force compliance activities pre-emptively, but are not likely to be safeguards for users. Emergent regime may conflict between those regimes.",Strict,Lenient-Strict,,,61,"Comparison 1-Antecedent,Comparison 6-",,
Threat Environment-ICRC-Regulator,ICRC,Regulator,Context,Threat Environment,Governing bodies are unlikely to be more familiar with threats than producer. Governments may also be threat actors.,Neither Unfamiliar Nor Familiar,Unfamiliar-Familiar,,,62,,,
Operational Environment-ICRC-Regulator,ICRC,Regulator,Context,Operational Environment,"Enforcement methods are limited, international regimes can only so much. Country regimes have political interests in ICRC operating in their country, driving much of their regulations.",Somewhat Weak,Weak-Strong,,,63,Finding 2-Antecedent,,
Deploying-ICRC-User,ICRC,User,Operating,Deploying,"Users include the National Society staff that deploy the software on site, and beneficiaries who use the features. NS staff are trained, and can request limited support and updates. Beneficiaries get value from the software, since it can be the only way to get in touch with separated family, but they may increase risk by using it.",Neither Passive Nor Active,Passive-Active,,,64,,,
Securing-ICRC-User,ICRC,User,Operating,Securing,"National Society staff that implement the software in the field take precautions to safeguard the data of the end-user beneficiaries. They also have heterogeneous familiarity with cyber hygiene.The beneficiaries may also try to protect themselves, but using the software opens them up to privacy harms. ",Neither Passive Nor Active,Passive-Active,,,65,,,
Influencing-ICRC-User,ICRC,User,Operating,Influencing,"All users have very few options to influence the data privacy and security laws of their host country or the internal regulations of the software producer, and do not take organized action to do so.",Passive,Passive-Active,,,66,,,
Complying-ICRC-User,ICRC,User,Operating,Complying,"ICRC staff that deploy the software must comply with the overarching regime that governs the Movement, as well as that of the country where they operate, although those regimes may be complex and even in conflict. They also had to adhere to the supplemental guidance provided by the software producer.

End-users would need to follow rules brought to them by the deployment users.",Active,Passive-Active,,,67,,,
Implementing-ICRC-Software Producer,ICRC,Software Producer,Operating,Implementing,"ICRC implemented case management software to help beneficiaries in disaster and conflict situations. They provide the software to affiliated National Societies that implement it.

The software was proposed in 2009 and launched in 2012, and is based on 150 years of work in their Restoring Family Links program, which helps reconnect families separated in conflict and emergency situations.",Somewhat Active,Passive-Active,,,68,Comparison X-,,
Securing-ICRC-Software Producer,ICRC,Software Producer,Operating,Securing,"The ICRC team followed best practices to protect their users, including both technical practices, and support for implementation users (National Societies).",Active,Passive-Active,,,69,Comparison X-,,
Influencing-ICRC-Software Producer,ICRC,Software Producer,Operating,Influencing,"ICRC and Movement are highly self-regulatory, promoting the interests of their beneficiaries internally. They partner with governments on humanitarian rights. However, they do not seem to influence cybersecurity laws in the jurisdictions where they operate. ",Somewhat Active,Passive-Active,,,70,,,
Complying-ICRC-Software Producer,ICRC,Software Producer,Operating,Complying,"ICRC must adhere to a uniquely complex regime designed for catasrophic situations which includes protecting user data, among many other concerns. They have a robust internal bureaucracy for creating and implementing their own policies, guidance, and rules. This were arduously documented.

They also deployed software to be compliant with the non-functional, regulatory requirements of their users.

",Active,Passive-Active,,,71,Comparison 1-Antecedent,,
Rulemaking-ICRC-Regulator,ICRC,Regulator,Operating,Rulemaking,"ICRC is heavily regulated by national and international regimes, but its self-regulation may be even more robust. Laws and regulations govern them, but they are driven by their own mission to protect their users. The regime evolves as disasters and conflicts continue.",Somewhat Active,Passive-Active,,,72,,,
Enforcement-ICRC-Regulator,ICRC,Regulator,Operating,Enforcement,"Enforcement methods against ICRC and National Societies are limited. If they upset their host countries or other actors, they may not be allowed to operate. If they lose the trust of their beneficiaries, they may cease to be users.",Somewhat Passive,Passive-Active,,,73,,,
Investigation-ICRC-Regulator,ICRC,Regulator,Operating,Investigation,"It does not appear that any regulatory body was engaged in investigation activities. Only the internal bureaucracy would have had oversight, but they did not have expertise/familiarity. ",Somewhat Passive,Passive-Active,,,74,,,
Influencing-ICRC-Regulator,ICRC,Regulator,Operating,Influencing,"Changes to data security and privacy regimes were driven heavily by European regulators because of the scale of European users (NSs) of the ICRC software, and bolstered by the new GDPR rules. However, not all countries were subject to those regulators and rules. Different national regimes could also be impacted by regulator influence, which is hard to measure

Stakeholders in the ICRC Movement also had an impact on the rules governing the RFL software.",Somewhat Active,Passive-Active,,,75,,,
Capacity-ICRC-User,ICRC,User,Precursors,Capacity,"NS users implemented the software in unique contexts with various levels of resources, cultures of use, experience, and training, and with limited resources from the producer for support.",Somewhat Low,Low-High,,,76,"Finding 4-Antecedent,Finding 3-Antecedent",,
Business Change-ICRC-User,ICRC,User,Precursors,Business Change,"Each NS requires new customization and configuration, and they have changing needs",Somewhat Low,Low-High,,,77,,,
Compliance-ICRC-User,ICRC,User,Precursors,Compliance,"Training, documentation of processes, and terms and conditions for use were delivered and confirmed by implementation-users. ",High,Low-High,,,78,,,
Unaddressed Failures & Weaknesses-ICRC-User,ICRC,User,Precursors,Unaddressed Failures & Weaknesses,"Poor practices by users may have led to vulnerabilities, primarily to the beneficiaries they serve",Somewhat Risky,,,,79,,,
Capacity-ICRC-Software Producer,ICRC,Software Producer,Precursors,Capacity,ICRC had thorough documentation of the software and guidance to protect end-users. It was led by a team with expertise and engineered using leading software from Microsoft,High,Low-High,,,80,,,
Business Change-ICRC-Software Producer,ICRC,Software Producer,Precursors,Business Change,"No major business changes were precursors. The software launched in 2012 and grew in its use, but had limited change due to limited resources for development.",Somewhat Low,Low-High,,,81,,,
Compliance-ICRC-Software Producer,ICRC,Software Producer,Precursors,Compliance,ICRC created its own rigorous process for adhering to principles that protect their users. They also tailored deployment for users based on national requirements.,Strict,Lenient-Strict,,,82,Comparison 1-Antecedent,,
Unaddressed Failures & Weaknesses-ICRC-Software Producer,ICRC,Software Producer,Precursors,Unaddressed Failures & Weaknesses,"A new vulnerability was identified and a patch released, but ICRC failed to update for a month before it was exploited. ",Somewhat Risky,Risky-Stable,,,83,,,
Regimes-ICRC-Regulator,ICRC,Regulator,Precursors,Regimes,The ICRC created a strict regime to govern their own data privacy. Countries where ICRC deployed may also have been under unique scrutiny. ,Somewhat Strict,Lenient-Strict,,,84,,,
Capacity-ICRC-Regulator,ICRC,Regulator,Precursors,Capacity,"There is little capacity by external regulators to influence ICRC's software. However, third-party cybersecurity partners were active in supporting best practices, including sending alerts about a critical vulnerability that affected ICRC software. Capacity by nations varied.",Neither Weak Nor Strong,Weak-Strong,,,85,Comparison 6-,,
Posturing-ICRC-User,ICRC,User,RRR,Posturing,"The Movement made statements condemning the attackers, but did not outright name them.",Passive,Passive-Active,,,86,"Finding 4-Antecedent,Finding 3-Antecedent",,
Compensating-ICRC-User,ICRC,User,RRR,Compensating,None identified,Passive,Passive-Active,,,87,"Finding 4-Antecedent,Finding 3-Antecedent",,
Correcting-ICRC-User,ICRC,User,RRR,Correcting,"Staff users made efforts to keep maintain capacity while the software was unavailable, such as reverting to previous processes like paper records or spreadsheets",Somewhat Active,Passive-Active,,,88,Finding 3-Result,,
Complying-ICRC-User,ICRC,User,RRR,Complying,Users did not make any clear compliance efforts.,Passive,Passive-Active,,,89,Finding 3-Result,,
Posturing-ICRC-Software Producer,ICRC,Software Producer,RRR,Posturing,"ICRC quickly and publicly addressed the breach, connecting with colleagues across cyber and aid industries.",Active,Passive-Active,,,90,,,
Compensating-ICRC-Software Producer,ICRC,Software Producer,RRR,Compensating,"None identified, but their interest is in protecting beneficiaries, so lack of compensation is still not ideal",Somewhat Favorable,Unfavorable-Favorable,,,91,,,
Correcting-ICRC-Software Producer,ICRC,Software Producer,RRR,Correcting,Major efforts kept services running during the software outage. New safeguards were put in place by the Movement and called for its organizations to make changes.,Active,Passive-Active,,,92,Finding 5-,,
Complying-ICRC-Software Producer,ICRC,Software Producer,RRR,Complying,ICRC adhered to its regulations and best practices in this phase.,High,Low-High,,,93,Comparison 1-Result,,
Posturing-ICRC-Regulator,ICRC,Regulator,RRR,Posturing,"No regulatory bodies made any public statements. But the ICRC did have an open, but private symposium where attendees could discuss their issues, but details were not released publicly.",Somewhat Passive,Passive-Active,,,94,,,
Compensating-ICRC-Regulator,ICRC,Regulator,RRR,Compensating,None identified,Passive,Passive-Active,,,95,,,
Correcting/Enforcing-ICRC-Regulator,ICRC,Regulator,RRR,Correcting/Enforcing,The movement drafted and confirmed a new resolution for safeguarding their data.,Somewhat Active,Passive-Active,,,96,Finding 5-,,
Complying-ICRC-Regulator,ICRC,Regulator,RRR,Complying,"The Movement as internal regulators, adhered to their principles in creating new safeguards to prevent a similar event from happening in the future. There does not seem to be any governmental regulatory action.",Neither Passive Nor Active,Passive-Active,,,97,Comparison 6-,,
Costs-ICRC-User,ICRC,User,Outcomes,Costs,Risk of future harm for compromised users. More difficulty in using services from ICRC.,Neither Unfavorable Nor Favorable,Unfavorable-Favorable,,,98,"Comparison 1-Result,Finding 4-Result",,
Transformations-ICRC-User,ICRC,User,Outcomes,Transformations,"None for end-users, but field workers may have adapted additional security practices.",Weak,Weak-Strong,,,99,Finding 5-,,
Remedies-ICRC-User,ICRC,User,Outcomes,Remedies,No compensation. Field workers may have implemented new practices.,Unfavorable,Unfavorable-Favorable,,,100,"Comparison 1-Result,Finding 2-Result,Finding 4-Result,Finding 5-",,
Preservation-ICRC-User,ICRC,User,Outcomes,Preservation,Users will still continue to use the RFL software for their needs in these unique situations.,Strong,Weak-Strong,,,101,,,
Costs-ICRC-Software Producer,ICRC,Software Producer,Outcomes,Costs,"Remediation costs, creating a new cyber delegation. Also started hosting a symposium on data security.",Neither Unfavorable Nor Favorable,Unfavorable-Favorable,,,102,"Finding 5-,Comparison X-",,
Transformations-ICRC-Software Producer,ICRC,Software Producer,Outcomes,Transformations,"New safeguards were put in place, and likely software updates. A new cyber delegation was created in Luxembourg.",Somewhat Strong,Weak-Strong,,,103,Comparison X-,,
Preservation-ICRC-Software Producer,ICRC,Software Producer,Outcomes,Preservation,"ICRC continues to provide these services to meet its mission, and made public efforts to maintain trust.",High,Low-High,,,104,,,
Remedies-ICRC-Software Producer,ICRC,Software Producer,Outcomes,Remedies,ICRC did not receive any remedies as a result of the breach.,Neither Unfavorable Nor Favorable,Unfavorable-Favorable,,,317,,,
Costs-ICRC-Regulator,ICRC,Regulator,Outcomes,Costs,"No new laws or regulations, but Movement did facilitate a process to develop and implement new safeguards.",Neither Low Nor High,Low-High,,,105,Finding 2-,,
Remedies-ICRC-Regulator,ICRC,Regulator,Outcomes,Remedies,New safeguard processes put in place. ,Neither Weak Nor Strong,Weak-Strong,,,106,"Finding 5-,Comparison 6-",,
Transformations-ICRC-Regulator,ICRC,Regulator,Outcomes,Transformations,"A new cybersecurity delegation was created outside of ICRC's home, Switzerland. New guidance was developed.",Somewhat Low,Low-High,,,107,Finding 5-,,
Preservation-ICRC-Regulator,ICRC,Regulator,Outcomes,Preservation,"The existing internal regulations were maintained, and new ones were added",Somewhat High,Low-High,,,108,"Finding 5-,Comparison 6-",,