Name,Case,Stakeholder,Node,Net Effects,Description,Value,Unit ID
Regulatory Environment-Illuminate Education-User,Illuminate Education,User,Context,Regulatory Environment,"Regime protects students
Regime does not explicity protect teachers or administrators
Users rights of action are murky",Neither Weak Nor Strong,1
Threat Environment-Illuminate Education-User,Illuminate Education,User,Context,Threat Environment,"Implementation users are familiar with threats to schools and students
Targets have high value, and are particularly vulnerable (students)",Risky,2
Operational Environment-Illuminate Education-User,Illuminate Education,User,Context,Operational Environment,"High power distance: Hierarchy of users includes students, teachers, school staff/administrators, school district administrators",Challenging,3
Regulatory Environment-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Context,Regulatory Environment,"Producer operates in a highly regulated environment, but regime applications are murky. Faces complex legal challenges because it is largely their clients that are responsible for regulatory compliance. ",Neither Lenient Nor Strict,4
Threat Environment-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Context,Threat Environment,"Producer should be familiar with education-related threats and vulnerabilities

Variable threat surface could depend on cloud vs. on-prem implementation structure",Somewhat Risky,5
Regulatory Environment-Illuminate Education-Regulator,Illuminate Education,Regulator,Context,Regulatory Environment,"Regime emerges from local, state, and national laws. State and national agencies have authority to act, and offer different protections.",Somewhat Strict,7
Operational Environment-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Context,Operational Environment,"Broad and diverse user-base, resulting in disparate requirements for cybersecurity (e.g. by district, school, state gov, etc)",Neither Challenging Nor Simple,6
Threat Environment-Illuminate Education-Regulator,Illuminate Education,Regulator,Context,Threat Environment,"National agencies share familiarity, but state have different levels of expertise to handle cybersecurity",Neither Unfamiliar Nor Familiar,8
Operational Environment-Illuminate Education-Regulator,Illuminate Education,Regulator,Context,Operational Environment,"Enforcement methods vary by agency/regime, ability to protect students from cybersecurity harms is complex (DepEd vs.FTC)",Somewhat Weak,9
Deploying-Illuminate Education-User,Illuminate Education,User,Operating,Deploying,"Customer-users, including administrators, and IT staff, deployed the software to meet the needs of the primary end-users, teachers and students. ",Active,10
Securing-Illuminate Education-User,Illuminate Education,User,Operating,Securing,"IT users responsible for deploying the software would have had to secure it based on industry best practices, as well as requirements set forth based on their regime. They would not have to follow security practices to update the software because it is cloud-based. End-users would observe basic cyber hygiene to protect themselves.",Active,11
Influencing-Illuminate Education-User,Illuminate Education,User,Operating,Influencing,"User-advocacy groups attempt to influence regulators and software producers to improve protections, such as through litigation and corporate reform. They also try to influence users through education and training.",Neither Passive Nor Active,12
Complying-Illuminate Education-User,Illuminate Education,User,Operating,Complying,"Guidance, rules, and best practices would mean that end-user permissions would be managed based on available software capabilities to meet regime requirements.",Neither Passive Nor Active,13
Implementing-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Operating,Implementing,"Illuminate Education, a private/private equity company, started in 2009. To do business and grow, it acquired 12 other companies in 2016-2019, including IOeducation which built the PupilPath software.",Active,14
Securing-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Operating,Securing,"Illuminate Education would have had to secure their disparate software solutions individually, as they were the result of serial acquisitions and did not appear to be integrated with each other.",Neither Passive Nor Active,15
Influencing-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Operating,Influencing,Illuminate Education participated in industry regulatory bodies. ,Somewhat Passive,16
Complying-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Operating,Complying,"Illuminate Education would have had to implement technical solutions to comply with the regimes in the various jurisdictions in which they operated. For example, the ""strict data agreement"" with the NYC DOE. 

They also voluntarily signed onto the Student Privacy Pledge, an industry self-regulatory body.",Neither Passive Nor Active,17
Rulemaking-Illuminate Education-Regulator,Illuminate Education,Regulator,Operating,Rulemaking,"There were multiple regimes that regulated the software producer's business operations, established through case and statutory law, primarily designed to protect data of students and minors under 18.",Somewhat Active,18
Enforcement-Illuminate Education-Regulator,Illuminate Education,Regulator,Operating,Enforcement,"The regulations provision the various responsible agencies with a variety of enforcement mechanisms should a conflict occur, and they were actively being used.",Somewhat Passive,19
Investigation-Illuminate Education-Regulator,Illuminate Education,Regulator,Operating,Investigation,Regulators also rely on investigation authority to determine enforcement approaches.,Somewhat Active,20
Influencing-Illuminate Education-Regulator,Illuminate Education,Regulator,Operating,Influencing,"Regulators, especially self-regulatory bodies like the Student Privacy Pledge, advocated for best practices by software producers. They also signaled their interests and shaped the regime through case and statutory law.",Somewhat Passive,21
Capacity-Illuminate Education-User,Illuminate Education,User,Precursors,Capacity,"Users had software that they used daily to meet their needs, supported at various levels by IT teams, budget, and other users. Software may have been seen to be on a spectrum of effectiveness depending on the user and specific implementation.",Neither Low Nor High,22
Business Change-Illuminate Education-User,Illuminate Education,User,Precursors,Business Change,"Changing operations may have induced changes to the software deployment, and even could have impacted the software production ",High,23
Compliance-Illuminate Education-User,Illuminate Education,User,Precursors,Compliance,"Contracts, logs, training materials, audits, and other records were created based on national, state, local, and internal requirements to support the implementation.",Neither Low Nor High,24
Unaddressed Failures & Weaknesses-Illuminate Education-User,Illuminate Education,User,Precursors,Unaddressed Failures & Weaknesses,Poor practices by users may have led to vulnerabilities,No Data Available,25
Capacity-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Precursors,Capacity,"Illuminate Education engineered and delivered software to its clients, although much of the knowledge and artifacts originated in companies it had acquired, and there had been layoffs prior to the incident.",Somewhat Low,26
Business Change-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Precursors,Business Change,"Producer acquired new companies, including staff and software",High,27
Compliance-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Precursors,Compliance,"Producer agreed to comply with regimes that govern their clients, and the individual contracts between them. Not all had requirements on encrypting data at rest, but it was still a best practice.",Neither Lenient Nor Strict,28
Unaddressed Failures & Weaknesses-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Precursors,Unaddressed Failures & Weaknesses,"Complaints allege that Illuminate Ed did not follow data security best practices, encrypting data at rest",Risky,29
Regimes-Illuminate Education-Regulator,Illuminate Education,Regulator,Precursors,Regimes,"Emergent regime is weak in enforcing student data privacy regulations, especially against third-parties",Lenient,30
Capacity-Illuminate Education-Regulator,Illuminate Education,Regulator,Precursors,Capacity,Capacity was extremely limited at the outset of this case to handle data privacy issues for students and kids as a result of software-related incidents,Weak,31
Posturing-Illuminate Education-User,Illuminate Education,User,RRR,Posturing,"Affected users spoke out publicly about the breach. They connected with legal teams for lawsuits, and advocates for support, who also made statements.",Active,32
Compensating-Illuminate Education-User,Illuminate Education,User,RRR,Compensating,"Parents of affected students sued in court for compensation, and had to find legal grounds to sue. Staff users referred to agreements for options.",Active,33
Correcting-Illuminate Education-User,Illuminate Education,User,RRR,Correcting,"Contracts were canceled, and new software had to be found. End-users had to identify, deploy, and learn new software to correct for the loss. ",Somewhat Active,34
Complying-Illuminate Education-User,Illuminate Education,User,RRR,Complying,"Staff users followed the terms of hteir agreements, as well as the regime incl. national and local rules.",Somewhat Passive,35
Posturing-Illuminate Education-Software Producer,Illuminate Education,Software Producer,RRR,Posturing,"Illuminate made limited public statements, and kept most information hidden, including court documents.",Active,36
Compensating-Illuminate Education-Software Producer,Illuminate Education,Software Producer,RRR,Compensating,"No compensation seems to have been offered or compelled to affected users. However, they were fined by regulators for $5.1m.",Neither Unfavorable Nor Favorable,37
Correcting-Illuminate Education-Software Producer,Illuminate Education,Software Producer,RRR,Correcting,Software was taken offline for about 10 days before it was restored. Internal changes must have been made to prevent such an attack from happening again.,Somewhat Passive,38
Complying-Illuminate Education-Software Producer,Illuminate Education,Software Producer,RRR,Complying,"They would have adhered to agreement terms, such as NYCDOE's ability to terminate the contract. They may not have reported the incident in a timely manner. They settled with FTC and state regulators in 2025.",Neither Low Nor High,39
Posturing-Illuminate Education-Regulator,Illuminate Education,Regulator,RRR,Posturing,"Local regulators were outspoken about the event, national (such as FTC) made loose statements. Industry regulatory bodies also made statements. State AGs formed a new Consortium of Privacy Regulators and immediately soon took action against the company.",Somewhat Active,40
Compensating-Illuminate Education-Regulator,Illuminate Education,Regulator,RRR,Compensating,"No compensation was mandated for users, however state regulators received fines paid by the company in 2025.",Neither Passive Nor Active,41
Correcting/Enforcing-Illuminate Education-Regulator,Illuminate Education,Regulator,RRR,Correcting/Enforcing,"Regulators canceled agreements, and one industry regulator removed them from their program. FTC filed a complaint and consent order 4 years later. State regulators levied fines in 2025 as well.",Active,42
Complying-Illuminate Education-Regulator,Illuminate Education,Regulator,RRR,Complying,"Regulators followed regime in place, canceling agreements, but taking little further action. Illuminate was not governed as strictly as the education bodies it served.",Somewhat Active,43
Costs-Illuminate Education-User,Illuminate Education,User,Outcomes,Costs,"Users needed new software solutions when software went down, and if contracts were ended. Replacement software may have introduced new risks, especially free alternatives. Affected users are at risk of future harms like identity theft. Users also hired lawers out-of-pocket for lawsuits, but failed to get compensation.",Unfavorable,44
Transformations-Illuminate Education-User,Illuminate Education,User,Outcomes,Transformations,New relationships with edtech advocates were formed. Districts may have implemented new procedures.,Neither Weak Nor Strong,45
Remedies-Illuminate Education-User,Illuminate Education,User,Outcomes,Remedies,No compensation was collected. New prevention efforts were developed.,Unfavorable,46
Preservation-Illuminate Education-User,Illuminate Education,User,Outcomes,Preservation,Some school districts preserved their agreements with Illuminate.,Neither Weak Nor Strong,47
Costs-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Outcomes,Costs,Estimated cost of the remediation is $22m. $5.1m in penalties to state regulators were settled in 2025,Unfavorable,48
Transformations-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Outcomes,Transformations,"Likely put new procedures in place, but no public information is available. They were later acquired by a new private equity firm.",No Data Available,49
Preservation-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Outcomes,Preservation,"Still in business, continued growth, and some customers continued with their service",Somewhat High,50
Remedies-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Outcomes,Remedies,"Illuminate Education did not receive any known remedies for suffering from the breach, it is possible they received an insurance payout.",Neither Unfavorable Nor Favorable,318
Costs-Illuminate Education-Regulator,Illuminate Education,Regulator,Outcomes,Costs,"Some resources were spent by state-level regulators to investigate, but no major costs were incurred for enforcement, remediation, etc.",Neither Low Nor High,51
Remedies-Illuminate Education-Regulator,Illuminate Education,Regulator,Outcomes,Remedies,"Some contracts were canceled. Courts refused to support the claims of affected users. An FTC Consent Order, and a multi-state effort, were used to force Illuminate to change practices.",Neither Weak Nor Strong,52
Transformations-Illuminate Education-Regulator,Illuminate Education,Regulator,Outcomes,Transformations,"Initially, only an industry regulator took any action, removing Illuminate from its program. In 2025 the FTC pursued enforcement actions, and a new coalition of state AGs formed and penalized the company for $5.1m.",Somewhat High,53
Preservation-Illuminate Education-Regulator,Illuminate Education,Regulator,Outcomes,Preservation,"The regime was largely preserved, but there were changes to laws and enforcement approaches.",Neither Low Nor High,54
Regulatory Environment-ICRC-User,ICRC,User,Context,Regulatory Environment,"Overarching regime protects beneficiaries to the utmost. However, national protections may be in conflict, and norms may not support use of software. Beneficiaries also have very little recourse to respond to security failures, or advocate for protections.",Somewhat Strong,55
Threat Environment-ICRC-User,ICRC,User,Context,Threat Environment,"Threat surface varies widely by user-base, e.g. country and environment. Target value is variable, although users are highly vulnerable.",Risky,56
Operational Environment-ICRC-User,ICRC,User,Context,Operational Environment,"Users rely on software for emergency situations, and use cases are heterogeneous, requiring customization. 
Hierarchy is medium power distance, users access software directly through Red Cross National Societies, but probably don't connect with developers at ICRC.",Challenging,57
Regulatory Environment-ICRC-Software Producer,ICRC,Software Producer,Context,Regulatory Environment,"Multiple regimes to adhere to, international and national for ICRC, plus national where software is deployed. Strict internal regulations stemming from history of the org. Complex technical challenges to deliver software. 

Failure to comply could mean they cannot deliver pre-emptively (blocked by national government), or could threaten users directly (e.g. if government wants access to data).",Strict,58
Threat Environment-ICRC-Software Producer,ICRC,Software Producer,Context,Threat Environment,"Highly variable threat surface, deployment is in different countries with different needs, different regimes, and different potential attackers.",Risky,59
Operational Environment-ICRC-Software Producer,ICRC,Software Producer,Context,Operational Environment,Mission compliance over commercial viability. Must cooperate with on-site users (National Societies) for implementation.,Neither Challenging Nor Simple,60
Regulatory Environment-ICRC-Regulator,ICRC,Regulator,Context,Regulatory Environment,"Internal and international regimes provide strict guards on actions. In-country requirements also force compliance activities pre-emptively, but are not likely to be safeguards for users. Emergent regime may conflict between those regimes.",Strict,61
Threat Environment-ICRC-Regulator,ICRC,Regulator,Context,Threat Environment,Governing bodies are unlikely to be more familiar with threats than producer. Governments may also be threat actors.,Neither Unfamiliar Nor Familiar,62
Operational Environment-ICRC-Regulator,ICRC,Regulator,Context,Operational Environment,"Enforcement methods are limited, international regimes can only so much. Country regimes have political interests in ICRC operating in their country, driving much of their regulations.",Somewhat Weak,63
Deploying-ICRC-User,ICRC,User,Operating,Deploying,"Users include the National Society staff that deploy the software on site, and beneficiaries who use the features. NS staff are trained, and can request limited support and updates. Beneficiaries get value from the software, since it can be the only way to get in touch with separated family, but they may increase risk by using it.",Neither Passive Nor Active,64
Securing-ICRC-User,ICRC,User,Operating,Securing,"National Society staff that implement the software in the field take precautions to safeguard the data of the end-user beneficiaries. They also have heterogeneous familiarity with cyber hygiene.The beneficiaries may also try to protect themselves, but using the software opens them up to privacy harms. ",Neither Passive Nor Active,65
Influencing-ICRC-User,ICRC,User,Operating,Influencing,"All users have very few options to influence the data privacy and security laws of their host country or the internal regulations of the software producer, and do not take organized action to do so.",Passive,66
Complying-ICRC-User,ICRC,User,Operating,Complying,"ICRC staff that deploy the software must comply with the overarching regime that governs the Movement, as well as that of the country where they operate, although those regimes may be complex and even in conflict. They also had to adhere to the supplemental guidance provided by the software producer.

End-users would need to follow rules brought to them by the deployment users.",Active,67
Implementing-ICRC-Software Producer,ICRC,Software Producer,Operating,Implementing,"ICRC implemented case management software to help beneficiaries in disaster and conflict situations. They provide the software to affiliated National Societies that implement it.

The software was proposed in 2009 and launched in 2012, and is based on 150 years of work in their Restoring Family Links program, which helps reconnect families separated in conflict and emergency situations.",Somewhat Active,68
Securing-ICRC-Software Producer,ICRC,Software Producer,Operating,Securing,"The ICRC team followed best practices to protect their users, including both technical practices, and support for implementation users (National Societies).",Active,69
Influencing-ICRC-Software Producer,ICRC,Software Producer,Operating,Influencing,"ICRC and Movement are highly self-regulatory, promoting the interests of their beneficiaries internally. They partner with governments on humanitarian rights. However, they do not seem to influence cybersecurity laws in the jurisdictions where they operate. ",Somewhat Active,70
Complying-ICRC-Software Producer,ICRC,Software Producer,Operating,Complying,"ICRC must adhere to a uniquely complex regime designed for catasrophic situations which includes protecting user data, among many other concerns. They have a robust internal bureaucracy for creating and implementing their own policies, guidance, and rules. This were arduously documented.

They also deployed software to be compliant with the non-functional, regulatory requirements of their users.

",Active,71
Rulemaking-ICRC-Regulator,ICRC,Regulator,Operating,Rulemaking,"ICRC is heavily regulated by national and international regimes, but its self-regulation may be even more robust. Laws and regulations govern them, but they are driven by their own mission to protect their users. The regime evolves as disasters and conflicts continue.",Somewhat Active,72
Enforcement-ICRC-Regulator,ICRC,Regulator,Operating,Enforcement,"Enforcement methods against ICRC and National Societies are limited. If they upset their host countries or other actors, they may not be allowed to operate. If they lose the trust of their beneficiaries, they may cease to be users.",Somewhat Passive,73
Investigation-ICRC-Regulator,ICRC,Regulator,Operating,Investigation,"It does not appear that any regulatory body was engaged in investigation activities. Only the internal bureaucracy would have had oversight, but they did not have expertise/familiarity. ",Somewhat Passive,74
Influencing-ICRC-Regulator,ICRC,Regulator,Operating,Influencing,"Changes to data security and privacy regimes were driven heavily by European regulators because of the scale of European users (NSs) of the ICRC software, and bolstered by the new GDPR rules. However, not all countries were subject to those regulators and rules. Different national regimes could also be impacted by regulator influence, which is hard to measure

Stakeholders in the ICRC Movement also had an impact on the rules governing the RFL software.",Somewhat Active,75
Capacity-ICRC-User,ICRC,User,Precursors,Capacity,"NS users implemented the software in unique contexts with various levels of resources, cultures of use, experience, and training, and with limited resources from the producer for support.",Somewhat Low,76
Business Change-ICRC-User,ICRC,User,Precursors,Business Change,"Each NS requires new customization and configuration, and they have changing needs",Somewhat Low,77
Compliance-ICRC-User,ICRC,User,Precursors,Compliance,"Training, documentation of processes, and terms and conditions for use were delivered and confirmed by implementation-users. ",High,78
Unaddressed Failures & Weaknesses-ICRC-User,ICRC,User,Precursors,Unaddressed Failures & Weaknesses,"Poor practices by users may have led to vulnerabilities, primarily to the beneficiaries they serve",Somewhat Risky,79
Capacity-ICRC-Software Producer,ICRC,Software Producer,Precursors,Capacity,ICRC had thorough documentation of the software and guidance to protect end-users. It was led by a team with expertise and engineered using leading software from Microsoft,High,80
Business Change-ICRC-Software Producer,ICRC,Software Producer,Precursors,Business Change,"No major business changes were precursors. The software launched in 2012 and grew in its use, but had limited change due to limited resources for development.",Somewhat Low,81
Compliance-ICRC-Software Producer,ICRC,Software Producer,Precursors,Compliance,ICRC created its own rigorous process for adhering to principles that protect their users. They also tailored deployment for users based on national requirements.,Strict,82
Unaddressed Failures & Weaknesses-ICRC-Software Producer,ICRC,Software Producer,Precursors,Unaddressed Failures & Weaknesses,"A new vulnerability was identified and a patch released, but ICRC failed to update for a month before it was exploited. ",Somewhat Risky,83
Regimes-ICRC-Regulator,ICRC,Regulator,Precursors,Regimes,The ICRC created a strict regime to govern their own data privacy. Countries where ICRC deployed may also have been under unique scrutiny. ,Somewhat Strict,84
Capacity-ICRC-Regulator,ICRC,Regulator,Precursors,Capacity,"There is little capacity by external regulators to influence ICRC's software. However, third-party cybersecurity partners were active in supporting best practices, including sending alerts about a critical vulnerability that affected ICRC software. Capacity by nations varied.",Neither Weak Nor Strong,85
Posturing-ICRC-User,ICRC,User,RRR,Posturing,"The Movement made statements condemning the attackers, but did not outright name them.",Passive,86
Compensating-ICRC-User,ICRC,User,RRR,Compensating,None identified,Passive,87
Correcting-ICRC-User,ICRC,User,RRR,Correcting,"Staff users made efforts to keep maintain capacity while the software was unavailable, such as reverting to previous processes like paper records or spreadsheets",Somewhat Active,88
Complying-ICRC-User,ICRC,User,RRR,Complying,Users did not make any clear compliance efforts.,Passive,89
Posturing-ICRC-Software Producer,ICRC,Software Producer,RRR,Posturing,"ICRC quickly and publicly addressed the breach, connecting with colleagues across cyber and aid industries.",Active,90
Compensating-ICRC-Software Producer,ICRC,Software Producer,RRR,Compensating,"None identified, but their interest is in protecting beneficiaries, so lack of compensation is still not ideal",Somewhat Favorable,91
Correcting-ICRC-Software Producer,ICRC,Software Producer,RRR,Correcting,Major efforts kept services running during the software outage. New safeguards were put in place by the Movement and called for its organizations to make changes.,Active,92
Complying-ICRC-Software Producer,ICRC,Software Producer,RRR,Complying,ICRC adhered to its regulations and best practices in this phase.,High,93
Posturing-ICRC-Regulator,ICRC,Regulator,RRR,Posturing,"No regulatory bodies made any public statements. But the ICRC did have an open, but private symposium where attendees could discuss their issues, but details were not released publicly.",Somewhat Passive,94
Compensating-ICRC-Regulator,ICRC,Regulator,RRR,Compensating,None identified,Passive,95
Correcting/Enforcing-ICRC-Regulator,ICRC,Regulator,RRR,Correcting/Enforcing,The movement drafted and confirmed a new resolution for safeguarding their data.,Somewhat Active,96
Complying-ICRC-Regulator,ICRC,Regulator,RRR,Complying,"The Movement as internal regulators, adhered to their principles in creating new safeguards to prevent a similar event from happening in the future. There does not seem to be any governmental regulatory action.",Neither Passive Nor Active,97
Costs-ICRC-User,ICRC,User,Outcomes,Costs,Risk of future harm for compromised users. More difficulty in using services from ICRC.,Neither Unfavorable Nor Favorable,98
Transformations-ICRC-User,ICRC,User,Outcomes,Transformations,"None for end-users, but field workers may have adapted additional security practices.",Weak,99
Remedies-ICRC-User,ICRC,User,Outcomes,Remedies,No compensation. Field workers may have implemented new practices.,Unfavorable,100
Preservation-ICRC-User,ICRC,User,Outcomes,Preservation,Users will still continue to use the RFL software for their needs in these unique situations.,Strong,101
Costs-ICRC-Software Producer,ICRC,Software Producer,Outcomes,Costs,"Remediation costs, creating a new cyber delegation. Also started hosting a symposium on data security.",Neither Unfavorable Nor Favorable,102
Transformations-ICRC-Software Producer,ICRC,Software Producer,Outcomes,Transformations,"New safeguards were put in place, and likely software updates. A new cyber delegation was created in Luxembourg.",Somewhat Strong,103
Preservation-ICRC-Software Producer,ICRC,Software Producer,Outcomes,Preservation,"ICRC continues to provide these services to meet its mission, and made public efforts to maintain trust.",High,104
Remedies-ICRC-Software Producer,ICRC,Software Producer,Outcomes,Remedies,ICRC did not receive any remedies as a result of the breach.,Neither Unfavorable Nor Favorable,317
Costs-ICRC-Regulator,ICRC,Regulator,Outcomes,Costs,"No new laws or regulations, but Movement did facilitate a process to develop and implement new safeguards.",Neither Low Nor High,105
Remedies-ICRC-Regulator,ICRC,Regulator,Outcomes,Remedies,New safeguard processes put in place. ,Neither Weak Nor Strong,106
Transformations-ICRC-Regulator,ICRC,Regulator,Outcomes,Transformations,"A new cybersecurity delegation was created outside of ICRC's home, Switzerland. New guidance was developed.",Somewhat Low,107
Preservation-ICRC-Regulator,ICRC,Regulator,Outcomes,Preservation,"The existing internal regulations were maintained, and new ones were added",Somewhat High,108
Regulatory Environment-Equifax-User,Equifax,User,Context,Regulatory Environment,"Regime protects consumers through a variety of frameworks, including financial, general consumer, and data privacy.",Strong,109
Threat Environment-Equifax-User,Equifax,User,Context,Threat Environment,"There is an extensive and pervasive threat environment. Massive amounts of valuable data are stored in a single place, with potential harm directly to users. The data is constantly threatened by nefarious actors using all possible means.",Risky,110
Operational Environment-Equifax-User,Equifax,User,Context,Operational Environment,"Power distance is high, end-users are almost entirely passive. They do not have permission to opt-out of data collection by Equifax or its customers, except in extremely limited situations.

Customers are business-users, heterogenous across nearly all industries, and send consumer data  to Equifax so they can receive additional consumer data.",Somewhat Challenging,111
Regulatory Environment-Equifax-Software Producer,Equifax,Software Producer,Context,Regulatory Environment,"Producer operates in a highly regulated environment, but regime applications are murky. Faces complex legal challenges because it is largely their clients that are responsible for regulatory compliance. ",Strict,112
Threat Environment-Equifax-Software Producer,Equifax,Software Producer,Context,Threat Environment,"Producer should be familiar with education-related threats and vulnerabilities

Variable threat surface could depend on cloud vs. on-prem implementation structure",Risky,113
Operational Environment-Equifax-Software Producer,Equifax,Software Producer,Context,Operational Environment,"Broad and diverse user-base, resulting in disparate requirements for cybersecurity (e.g. by district, school, state gov, etc)",Simple,114
Regulatory Environment-Equifax-Regulator,Equifax,Regulator,Context,Regulatory Environment,"The emergent regime is robust, and arises from multiple agencies with many mandates and enforcement methods available to them, from case and statutory law. They offer strong protections for consumers and regularly pursue regulatory action against Equifax AND its industry at large. However, they stop short of limiting business growth.",Strict,115
Threat Environment-Equifax-Regulator,Equifax,Regulator,Context,Threat Environment,"The various agencies are familiar with the vulnerabilities and the potential harm to consumers, as well as best practices that Equifax should be following.",Familiar,116
Operational Environment-Equifax-Regulator,Equifax,Regulator,Context,Operational Environment,"Many enfocement methods are regularly employed, and can balance business interests with consumer protections. The political climate of the last 50+ years has frequently favored protecting consumer interests in the financial space. True for various regimes (US, CAN, UK).",Strong,117
Deploying-Equifax-User,Equifax,User,Operating,Deploying,"Business customers deploy Equifax software to inform their business decisions, while also returning consumer data to Equifax.

Consumer-users are the crux of the system, it is their data that is aggregated by Equifax for its customers to make business decisions. Consumers are laregly passive, cannot opt-out of the collection, and infrequently interact with the software, although it can have major impacts on their lives. Consumer-users' main interaction with the data is in major financial situations like buying a home, a car, or opening a bank account, when their credit score plays a role.",Somewhat Passive,118
Securing-Equifax-User,Equifax,User,Operating,Securing,"Business customers of Equifax may be able to submit their collected data securely, but the data they obtain about consumers must be secured in their own situation. Improperly secured reports present a risk to consumers, but the liability is on the customer.

Consumer-users must also be diligent to defend themselves against harms and prevent threats such as identity theft. Data security hygiene such as monitoring their credit scores, checking for suspicious behavior, keeping secure passwords, etc. is necessary to ensure that the data collected by Equifax has not ended up in the wrong hands.",Somewhat Passive,119
Influencing-Equifax-User,Equifax,User,Operating,Influencing,"User-advocacy groups attempt to influence regulators and software producers to improve protections, such as through litigation and corporate reform. They also try to influence users through education and training.",Neither Passive Nor Active,120
Complying-Equifax-User,Equifax,User,Operating,Complying,"Business customers that use Equifax's software are required to secure the data that they have access to because it is typically protected PII. There are compliance requirements for practices like disposal of data, training, and technical support.",Somewhat Active,121
Implementing-Equifax-Software Producer,Equifax,Software Producer,Operating,Implementing,"Equifax was in a sustained period of growth since the 1970s and the advent of modern computing. They introduced new lines of business by collecting, analyzing, and distributing vast amounts of consumer data to address the needs of their customers.

This also included growth in their software development practices.",Somewhat Active,122
Securing-Equifax-Software Producer,Equifax,Software Producer,Operating,Securing,"The data that they collected is extremely valuable to threat actors, whether for crime, hacktivism, espionage, or war. This meant leading cybersecurity practices had to be in place. However, the specific software that would get breached did not follow all best practices.",Somewhat Active,123
Influencing-Equifax-Software Producer,Equifax,Software Producer,Operating,Influencing,They did attempt to influence limited regulation to ease the costs of implementing security.,Active,124
