Name,Case,Stakeholder,Node,Net Effects,Description,Value,Unit ID
Complying-Equifax-Software Producer,Equifax,Software Producer,Operating,Complying,"The financial industry and the credit reporting industry has some self-regulatory bodies to protect their businesses by protecting consumers.

The government also created strict regulations to protect consumer interests, including data collected by Equifax and its competitors.

As quickly as Equifax began to use computing for business in the 1970s, they also had to implement and maintain software solutions to comply with regulations, in particular, a dispute resolution platform to respond to consumer complaints.",Active,125
Rulemaking-Equifax-Regulator,Equifax,Regulator,Operating,Rulemaking,"Strict rules regulating the credit reporting industry rose as quickly as the industry itself did, stemming from case and statutory law, with the input of politicians, consumers, advocacy groups, industry groups, lawyers, and judges. Rules continued to evolve, adapting to societal changes, with updates in likely every decade since 1970.",Active,126
Enforcement-Equifax-Regulator,Equifax,Regulator,Operating,Enforcement,"Enforcement practices were commensurate with rulemaking, agencies (especially the FTC) and courts took action against Equifax and other credit agencies for violations frequently.",Active,127
Investigation-Equifax-Regulator,Equifax,Regulator,Operating,Investigation,"Investigation is used both before enforcement action and after and CRAs like Equifax are under constant scrutiny by elected officials ,agency bureaucrats, and advocacy organizations.",Active,128
Influencing-Equifax-Regulator,Equifax,Regulator,Operating,Influencing,"The actions of the various regulators stand out as strong influence to encourage Equifax to adhere to rules, signaling their intentions, and shaping the regime. Successful enforcement actions promote the interests of the agency by showing their abilities, and bringing in revenue in the form of fines. ",Active,129
Capacity-Equifax-User,Equifax,User,Precursors,Capacity,"End-users had nearly zero capacity, their data was collected and used.

Customer-users were heterogenous in their capacity to implement the software, across a spectrum of scenarios",Low,130
Business Change-Equifax-User,Equifax,User,Precursors,Business Change,"Years of increasing data collection about end-users, customer-users implemention, and new lines of business",Somewhat High,131
Compliance-Equifax-User,Equifax,User,Precursors,Compliance,"End-users are familiar with the value of their credit data, and regularly attempt to follow the rules when they may be harmed.",High,132
Unaddressed Failures & Weaknesses-Equifax-User,Equifax,User,Precursors,Unaddressed Failures & Weaknesses,Behaviors by users were not precursors to the incident,No Data Available,133
Capacity-Equifax-Software Producer,Equifax,Software Producer,Precursors,Capacity,"Equifax is a large company, but had few resources dedicated to the software that was breached, including its security. It was partly an old system relying on dwindling staff that had experience with it.",Neither Low Nor High,134
Business Change-Equifax-Software Producer,Equifax,Software Producer,Precursors,Business Change,"The initial change was a feature created in the 70s, which was exposed to the internet much later, resulting in a complex application that was difficult to maintain",Somewhat High,135
Compliance-Equifax-Software Producer,Equifax,Software Producer,Precursors,Compliance,"Equifax complied with laws in creating the software initially, but did not continue later as the software evolved.",Neither Lenient Nor Strict,136
Unaddressed Failures & Weaknesses-Equifax-Software Producer,Equifax,Software Producer,Precursors,Unaddressed Failures & Weaknesses,"Equifax failed to patch their software for 2 months, leading to the breach. There were further security failures that exacerbated the impact of the incident.",Risky,137
Regimes-Equifax-Regulator,Equifax,Regulator,Precursors,Regimes,The ICRC created a strict regime to govern their own data privacy. Countries where ICRC deployed may also have been under unique scrutiny. ,Strict,138
Capacity-Equifax-Regulator,Equifax,Regulator,Precursors,Capacity,"There is little capacity by external regulators to influence ICRC's software. However, third-party cybersecurity partners were active in supporting best practices, including sending alerts about a critical vulnerability that affected ICRC software. Capacity by nations varied.",Strong,139
Posturing-Equifax-User,Equifax,User,RRR,Posturing,Users and advocacy groups made numerous public statements and began working together. ,Active,140
Compensating-Equifax-User,Equifax,User,RRR,Compensating,Users and advocacy groups filed lawsuits to seek compensation. Eventually they won.,Active,141
Correcting-Equifax-User,Equifax,User,RRR,Correcting,Users could use privacy tools (including some from Equifax) to correct effects of the breach. But they are not able to opt-out of the software entirely. Business customers sought to change agreements to prevent future issues.,Passive,142
Complying-Equifax-User,Equifax,User,RRR,Complying,Business customers investigated the failures and amended agreements.,Somewhat Passive,143
Posturing-Equifax-Software Producer,Equifax,Software Producer,RRR,Posturing,Created campaign to support users; made public statements; gave testimony to congress; made compensation promises,Active,144
Compensating-Equifax-Software Producer,Equifax,Software Producer,RRR,Compensating,Provided free services and eventually paid fines and compensation to affected users.,Unfavorable,145
Correcting-Equifax-Software Producer,Equifax,Software Producer,RRR,Correcting,"Restored software, changed business processes (including firing staff), dedicated resources to making fixes. Worked with Mandiant to remediate.",Active,146
Complying-Equifax-Software Producer,Equifax,Software Producer,RRR,Complying,"Testified in Congress, followed consent orders; reported to Congress on results (via Mandiant).",High,147
Posturing-Equifax-Regulator,Equifax,Regulator,RRR,Posturing,Strong public statements and non-binding actions were made quickly from across regulatory bodies. Agencies worked with each other and outside partners to interpret issues and address them.,Active,148
Compensating-Equifax-Regulator,Equifax,Regulator,RRR,Compensating,Multiple agencies pursued action and courts upheld their claims. Equifax was forced to pay monetary compensation in many venues.,Active,149
Correcting/Enforcing-Equifax-Regulator,Equifax,Regulator,RRR,Correcting/Enforcing,Many enforcement actions taken by many bodies. Equifax was investigated and punished in various ways. ,Active,150
Complying-Equifax-Regulator,Equifax,Regulator,RRR,Complying,"Various agencies adhered to their mandates in taking actions: pursuing compensation, conducting investigations, making legal decisions.",Active,151
Costs-Equifax-User,Equifax,User,Outcomes,Costs,Users were at risk of future harms from the breach; they also had to take action to protect their privacy. Lawyers that (successfully) represented the users in courtwere paid for their efforts close to $80m.,Somewhat Unfavorable,152
Transformations-Equifax-User,Equifax,User,Outcomes,Transformations,Business customers may have changed their processes in dealing with Equifax and similar vendors.,Weak,153
Remedies-Equifax-User,Equifax,User,Outcomes,Remedies,"Users received compensation from the court settlment, typically up to $125, with protection for up to $20k. They also received free privacy monitoring services.",Favorable,154
Preservation-Equifax-User,Equifax,User,Outcomes,Preservation,Business customers seem to have continued business with Equifax. End-users still have no ability to opt-out.,Strong,155
Costs-Equifax-Software Producer,Equifax,Software Producer,Outcomes,Costs,"Estimated costs range from $660m to $868m including fines, ad hoc activities, monitoring services. Compensation to US users totaled over $380m.",Unfavorable,156
Transformations-Equifax-Software Producer,Equifax,Software Producer,Outcomes,Transformations,"Executive and senior leadership were fired, and new business processes were likely put in place.",Strong,157
Preservation-Equifax-Software Producer,Equifax,Software Producer,Outcomes,Preservation,"Equifax is still in business, and many business customers continued their relationship.",Somewhat High,158
Remedies-Equifax-Software Producer,Equifax,Software Producer,Outcomes,Remedies,"Equifax did not receive any known remedies for suffering the breach, they may have received an insurance payout.",Neither Unfavorable Nor Favorable,316
Costs-Equifax-Regulator,Equifax,Regulator,Outcomes,Costs,Massive resources were put into regulatory actions from multiple agencies.,High,159
Remedies-Equifax-Regulator,Equifax,Regulator,Outcomes,Remedies,"Enforcement actions including investigation, fines, mandated compensation, ongoing monitoring, and engaging with networks to achieve these goals.",Strong,160
Transformations-Equifax-Regulator,Equifax,Regulator,Outcomes,Transformations,"No major transformations occurred, they mainly followed existing regime.",Low,161
Preservation-Equifax-Regulator,Equifax,Regulator,Outcomes,Preservation,"Regulators preserved their mandate, showing that it is effective and can respond to issues governed by the regime.",High,162
Regulatory Environment-CatalanGate-User,CatalanGate,User,Context,Regulatory Environment,"Users had GDPR protections, but regime was limited regarding legal use of spyware. User advocacy groups were strong.",Neither Weak Nor Strong,163
Threat Environment-CatalanGate-User,CatalanGate,User,Context,Threat Environment,"Users used a ubiquitous, free, consumer app. They were high value targets for a very specific attacker, and there was no real way to protect against this particular threat.",Risky,164
Operational Environment-CatalanGate-User,CatalanGate,User,Context,Operational Environment,"High power distance, and the software was in widespread use. Users could not add any security to this software, other than good hygiene practices.",Challenging,165
Regulatory Environment-CatalanGate-Software Producer,CatalanGate,Software Producer,Context,Regulatory Environment,WhatsApp is highly regulated through GDPR and had strong cybersecurity practices. ,Strict,166
Threat Environment-CatalanGate-Software Producer,CatalanGate,Software Producer,Context,Threat Environment,"WhatsApp was familiar with a wide variety of threats and regularly released security updates. But given their massive user base, they were probably constantly under threat.",Risky,167
Operational Environment-CatalanGate-Software Producer,CatalanGate,Software Producer,Context,Operational Environment,Massive user base and widespread adoption on a variety of devices.,Neither Challenging Nor Simple,168
Regulatory Environment-CatalanGate-Regulator,CatalanGate,Regulator,Context,Regulatory Environment,EU Regulators were mainly focused on data privacy for consumer technology. But there was limited attention to spyware threats. Spanish regulators did have processes in place to ensure spyware was used legally.,Somewhat Strict,169
Threat Environment-CatalanGate-Regulator,CatalanGate,Regulator,Context,Threat Environment,"Regulators were familiar with cyber threats to privacy, mostly on data sharing and processing, and to some degree, hacking. EU regulators did not address spyware use actively, and Spanish regulators had regulations governing its use.",Neither Unfamiliar Nor Familiar,170
Operational Environment-CatalanGate-Regulator,CatalanGate,Regulator,Context,Operational Environment,"EU protections were available to pursue companies that violate GDPR, but had fewer options to pursue remedies for spyware harms. They also have an interest in protecting their ability to use spyware for state interests. Spain had resources to ensure regulations for the use of spyware were complied with.",Somewhat Strong,171
Deploying-CatalanGate-User,CatalanGate,User,Operating,Deploying,"Consumer users were active on WhatsApp and relied on it for personal and likely business use. Even among the targeted users, there would be vaious use cases, and not all of them were connected directly with each other.",Active,172
Securing-CatalanGate-User,CatalanGate,User,Operating,Securing,"Users would have a mix of hygiene practices given the widespread use. However, even those practices could not protect them from zero-click vulnerabilities.",Passive,173
Influencing-CatalanGate-User,CatalanGate,User,Operating,Influencing,"User advocacy groups were active in protecting user data security and privacy, including with spyware. In Europe these groups do have sway, but their spyware efforts were limited compared to consumer privacy.",Somewhat Active,174
Complying-CatalanGate-User,CatalanGate,User,Operating,Complying,"There was really no adherence capability for WhatsApp users. However, user advocacy groups were active in helping users follow best practices and documenting issues for at-risk groups like journalists and activists.",Neither Passive Nor Active,175
Implementing-CatalanGate-Software Producer,CatalanGate,Software Producer,Operating,Implementing,"WhatsApp was a large and growing company, with an expanding user base. They rolled out new features regularly. ",Active,176
Securing-CatalanGate-Software Producer,CatalanGate,Software Producer,Operating,Securing,WhatsApp and Meta had experienced security teams that regularly released patches and secured against threats.,Active,177
Influencing-CatalanGate-Software Producer,CatalanGate,Software Producer,Operating,Influencing,"Meta has a large influence operation, but it was limited in its ability to impact regulations in Europe, although it tried aggressively.",Active,178
Complying-CatalanGate-Software Producer,CatalanGate,Software Producer,Operating,Complying,"Given its size, Meta was the focus of a lot of regulatory attention, which forced them to comply strictly with regulations.",Active,179
Rulemaking-CatalanGate-Regulator,CatalanGate,Regulator,Operating,Rulemaking,"The EU was very active in creating cybersecurity regulations, particularly for data security and privacy. The rules regarding the legal use of spyware were largely relegated to states, and Spain had a clear regime in place.",Active,180
Enforcement-CatalanGate-Regulator,CatalanGate,Regulator,Operating,Enforcement,"The EU was very active in enforcing their GDPR policies, but was less active with regard to spyware.",Somewhat Active,181
Investigation-CatalanGate-Regulator,CatalanGate,Regulator,Operating,Investigation,"EU investigative actions were quite thorough when it came to data privacy and security issues, especially with regard to Meta.",Active,182
Influencing-CatalanGate-Regulator,CatalanGate,Regulator,Operating,Influencing,"Regulators had strong influence in establishing their authority and protecting their interests, as well as shaping the regime.",Active,183
Capacity-CatalanGate-User,CatalanGate,User,Precursors,Capacity,"Users, as a whole, would have little or no capacity for cybersecurity while using WhatsApp. However, they did have some capacity for activism.",Neither Low Nor High,184
Business Change-CatalanGate-User,CatalanGate,User,Precursors,Business Change,"The growing use of WhatsApp, in Spain and in Europe, and its regular release of new features made it useful for changing needs of its users.",Somewhat High,185
Compliance-CatalanGate-User,CatalanGate,User,Precursors,Compliance,There were no adherence or compliance outputs for WhatsApp users. But advocacy groups were documenting the use of spyware to inform future regulatory action.,Somewhat High,186
Unaddressed Failures & Weaknesses-CatalanGate-User,CatalanGate,User,Precursors,Unaddressed Failures & Weaknesses,Poor practices by users were not the cause of the vulnerabilities,No Data Available,187
Capacity-CatalanGate-Software Producer,CatalanGate,Software Producer,Precursors,Capacity,WhatsApp's capacity was very large and had dedicated resources to protecting its software.,High,188
Business Change-CatalanGate-Software Producer,CatalanGate,Software Producer,Precursors,Business Change,"The software was changing a lot, with new features released regularly, especially after its acquisition. It had a massively expanding user base. ",High,189
Compliance-CatalanGate-Software Producer,CatalanGate,Software Producer,Precursors,Compliance,"Meta and WhatsApp were required to comply with strict regulations, and did so.",Strict,190
Unaddressed Failures & Weaknesses-CatalanGate-Software Producer,CatalanGate,Software Producer,Precursors,Unaddressed Failures & Weaknesses,"Changes to software, a massive user base, provided a large threat surface and intricate unaddressed failures, in spite of their efforts.",Somewhat Stable,191
Regimes-CatalanGate-Regulator,CatalanGate,Regulator,Precursors,Regimes,"The EU and Spain had strict regimes that were well defined for data privacy, but limited for spyware. Spain's regime was strict compared to some other countries using spyware.",Somewhat Strict,192
Capacity-CatalanGate-Regulator,CatalanGate,Regulator,Precursors,Capacity,"The EU and Spain had capacity to address data privacy and security concerns for consumer companies like WhatsApp, and had demonstrated their abilities regularly.",Strong,193
Posturing-CatalanGate-User,CatalanGate,User,RRR,Posturing,"Users and user advocacy groups were widely outspoken, and it was their collaborative work that broke the scandal.",Active,194
Compensating-CatalanGate-User,CatalanGate,User,RRR,Compensating,"Affected users have sought compensation through courts a few times, but no major cases have arisen.",Somewhat Active,195
Correcting-CatalanGate-User,CatalanGate,User,RRR,Correcting,"Users have attempted to change the laws and fight against the threat of future harms from spyware attacks. They have also worked with other stakeholders, esp. WhatsApp, to improve security broadly.",Active,196
Complying-CatalanGate-User,CatalanGate,User,RRR,Complying,Affected users worked with civil society to use the regime to help their situation.,Neither Passive Nor Active,197
Posturing-CatalanGate-Software Producer,CatalanGate,Software Producer,RRR,Posturing,Meta was outspoken about the incident and eventually railed publicly against the creators of the exploit. They called for better regulations to protect their software from attacks.,Active,198
Compensating-CatalanGate-Software Producer,CatalanGate,Software Producer,RRR,Compensating,Meta did not make any effort to compensate the affected users. But they did try to get compensation for their losses,Neither Passive Nor Active,199
Correcting-CatalanGate-Software Producer,CatalanGate,Software Producer,RRR,Correcting,It is likely that Meta enhanced their security practices based on the increasing threat of spyware. They also received support from human rights orgs in their case against NSO Group.,Active,200
Complying-CatalanGate-Software Producer,CatalanGate,Software Producer,RRR,Complying,"Because they wanted to fight the future threat of spyware, they worked with regulators to make change.",High,201
Posturing-CatalanGate-Regulator,CatalanGate,Regulator,RRR,Posturing,"EU regulators were outspoken and active about the incident, and worked closely with civil society.",Active,202
Compensating-CatalanGate-Regulator,CatalanGate,Regulator,RRR,Compensating,"No compensation to users has occurred, but WhatsApp did receive compensation for the attack.",Neither Passive Nor Active,203
Correcting/Enforcing-CatalanGate-Regulator,CatalanGate,Regulator,RRR,Correcting/Enforcing,"A large enforcement and investigation campaign came after the breach, including the PEGA Committee and subsequent related legislation. But the legislation did not directly target the use of spyware. Spanish regulators also conducted investigations (enforcement) but made no changes to the law.",Active,204
Complying-CatalanGate-Regulator,CatalanGate,Regulator,RRR,Complying,"EU regulators were diligent in adhering to their mandate, resulting in a thorough investigation. Spanish regulators also adhered to their mandate, investigating and eventually bringing to light important details about the case (although they ultimately found themselves in compliance).",Active,205
Costs-CatalanGate-User,CatalanGate,User,Outcomes,Costs,"Users suffered data privacy breaches, may have had problems with court cases, were arrested, and probably had emotional struggles with their privacy being invaded.",Unfavorable,206
Transformations-CatalanGate-User,CatalanGate,User,Outcomes,Transformations,"New and deeper relationships formed with advocacy networks, resulting in new regulations",Somewhat Strong,207
Remedies-CatalanGate-User,CatalanGate,User,Outcomes,Remedies,Users were not compensated for the breach. Some new preventative measures were put in place for journalists and for better security internationally. Nothing changed in Spain.,Neither Unfavorable Nor Favorable,208
Preservation-CatalanGate-User,CatalanGate,User,Outcomes,Preservation,"WhatsApp use continues to be widespread, but it is possible that some users changed platforms.",Strong,209
Costs-CatalanGate-Software Producer,CatalanGate,Software Producer,Outcomes,Costs,"WhatsApp was not forced to pay fines or damages. The security remediation seems to have been within the scope of their typical work. They may have suffered some reputational damage, but were also quite active in protecting their interests publicly and in court.",Neither Unfavorable Nor Favorable,210
Transformations-CatalanGate-Software Producer,CatalanGate,Software Producer,Outcomes,Transformations,New precedent was set by their court case against NSO Group.,Strong,211
Preservation-CatalanGate-Software Producer,CatalanGate,Software Producer,Outcomes,Preservation,WhatsApp continued to grow and is still widely used. Security features continued to be enhanced.,High,212
Remedies-CatalanGate-Software Producer,CatalanGate,Software Producer,Outcomes,Remedies,New precedent was set by their court case against NSO Group.,High,315
Costs-CatalanGate-Regulator,CatalanGate,Regulator,Outcomes,Costs,"Regulators were aggressive in investigating and other enforcement activities, likely with large expenditures of resources.",High,213
Remedies-CatalanGate-Regulator,CatalanGate,Regulator,Outcomes,Remedies,"New legislation was passed to help combat future spyware threats. They worked with civil society to help establish new regulations, and challenged other regulators that may not have been compliant.",Strong,214
Transformations-CatalanGate-Regulator,CatalanGate,Regulator,Outcomes,Transformations,"International new cases, legislation, training, certifications, precedent, and statements resulted. Spain changed little.",Somewhat High,215
Preservation-CatalanGate-Regulator,CatalanGate,Regulator,Outcomes,Preservation,"The existing system was largely maintained, but new best practices, and case law. Later, new regimes were created outside of EU and Spanish authority.",Somewhat High,216
Regulatory Environment-OPM-User,OPM,User,Context,Regulatory Environment,Government employees are protected by strong regimes for their work. They are a massive workforce with many advocates. The sensitive PII being collected was protected under many regimes.,Strong,217
Threat Environment-OPM-User,OPM,User,Context,Threat Environment,"As employees, data stored about them would have been a valuable target. As government employees, it was especially valuable, particularly for those with security clearances, and the background investigation data stored about them.",Risky,262
Operational Environment-OPM-User,OPM,User,Context,Operational Environment,"There were many needs that the OPM served as the HR agency for the government, meaning that the client users of OPM had heterogeneous practices, and many complex software needs.",Challenging,263
Regulatory Environment-OPM-Software Producer,OPM,Software Producer,Context,Regulatory Environment,"The regime governing the OPM was strict, including CIO oversight and IG involvement. However, they were not strictly adherent, and reports indicate they were defying best practices and ignoring changes that needed to be made.",Strict,264
Threat Environment-OPM-Software Producer,OPM,Software Producer,Context,Threat Environment,OPM was in a risky environment given the sensitivity of the data they controlled. The growing threat of APTs also increased the riskiness. Their cybersecurity leadership seemed to be unfamiliar with the level of risk associated with their data.,Risky,265
Operational Environment-OPM-Software Producer,OPM,Software Producer,Context,Operational Environment,A major shift in their data and software to include the PSI systems added immense complexity to their systems. They were required to meet demanding user/client requirements to implement the system.,Challenging,266
Regulatory Environment-OPM-Regulator,OPM,Regulator,Context,Regulatory Environment,"For years, government had established cybersecurity guidance and rules for government agencies. Requiring CIOs and IGs within agencies also supported a strict regime. However, this oversight did not translate directly into enforcement abilities.",Somewhat Strict,267
Threat Environment-OPM-Regulator,OPM,Regulator,Context,Threat Environment,"Agencies responsible for government IT and cybersecurity were familiar with threats, particularly the growing threat from APTs.",Familiar,268
Operational Environment-OPM-Regulator,OPM,Regulator,Context,Operational Environment,Multiple agencies had clear methods of enforcement and resources to back their efforts. The climate was also conducive to ongoing regulatory activities.,Strong,269
Deploying-OPM-User,OPM,User,Operating,Deploying,"Clients of OPM were active in using the software provided to them to manage personnel, as well as the heavy demand for the PSI process and software.",Active,270
Securing-OPM-User,OPM,User,Operating,Securing,"Users of OPM software, including end-users and the ""clients"" would likely have been very active in securing their data given its level of importance. Additionally, they were also probably required to follow strict rules when collecting and processing the data. ",Active,271
Influencing-OPM-User,OPM,User,Operating,Influencing,"Users were somewhat passive in influencing security operations, although they did have representation e.g. from unions.",Somewhat Passive,272
Complying-OPM-User,OPM,User,Operating,Complying,"Using OPM as the HR service for government agencies, includin the PSI system meant agencies would have to comply with strict regulations to safeguard their data. The use of OPM in the PSI process was generally part of compliance efforts to improve operations and security.",Active,273
Implementing-OPM-Software Producer,OPM,Software Producer,Operating,Implementing,"OPM was highly active, particulalry after taking over the PSI operations starting in 2004.",Active,274
Securing-OPM-Software Producer,OPM,Software Producer,Operating,Securing,"OPM had released a strategy cybersecurity plan but was identified as being one of the weakest implementers of cybersecurity practices among federal agencies. Their efforts fell below the minimum requirements, without which they may have done nothing to secure their systems.",Somewhat Passive,275
Influencing-OPM-Software Producer,OPM,Software Producer,Operating,Influencing,OPM was not involved in influencing cybersecurity regulations.,Passive,276
Complying-OPM-Software Producer,OPM,Software Producer,Operating,Complying,"OPM was not in compliance with federal regulations or their internal processes. They almost entirely failed to secure their systems as required, and even mislead regulators about the status of their operations. They even attempted to hide behind regulations as a result of some failures, but did not consistently apply their efforts (FedRAMP).",Passive,277
Rulemaking-OPM-Regulator,OPM,Regulator,Operating,Rulemaking,Regulators were actively developing and implementing regulations to improve the security of federal agencies and mitigate ongoing risks.,Active,278
Enforcement-OPM-Regulator,OPM,Regulator,Operating,Enforcement,"Regulators were active in enforcing regulations, including mandated reporting by agencies on their cybersecurity practices. However, they may have lacked some enforcement abilities which could have improved practices by agencies like OPM.",Somewhat Active,279
Investigation-OPM-Regulator,OPM,Regulator,Operating,Investigation,"Investigations, such as audits, were near constant, including through the IG, as well as in regular testimony to Congress, and with the support of other agencies like the GAO.",Active,280
Influencing-OPM-Regulator,OPM,Regulator,Operating,Influencing,"Regulators were incredibly active in advancing cybersecurity through influence efforts, including cooperation between different branches and agencies.",Active,281
Capacity-OPM-User,OPM,User,Precursors,Capacity,"Clients made extensive use of OPM's PSI capabilities, and relied on them heavily to manage personnel, all of whom were government employees. Employees were represented by unions to help protect their privacy. But there was very little work that could be done to protect their privacy.",Neither Low Nor High,282
Business Change-OPM-User,OPM,User,Precursors,Business Change,"Business change for OPM clients included the shift to using them for PSI processes. However, OPM had been responsible for personnel operations for a long time.",High,283
Compliance-OPM-User,OPM,User,Precursors,Compliance,,,284
Unaddressed Failures & Weaknesses-OPM-User,OPM,User,Precursors,Unaddressed Failures & Weaknesses,"Poor practices by users may have led to some vulnerabilities, but it was more likely to be the software team",Neither Low Nor High,285
Capacity-OPM-Software Producer,OPM,Software Producer,Precursors,Capacity,"OPM seemed to have nearly enough capacity to meet their overall needs, but were also limited by the amount of work they needed to complete and lackluster leadership. It could also rely on the support of other agencies, which it did not do adequately.",Neither Low Nor High,286
Business Change-OPM-Software Producer,OPM,Software Producer,Precursors,Business Change,"There was high business change over the previous ten years, mainly the shift to managing the PSI process and technology.",High,287
Compliance-OPM-Software Producer,OPM,Software Producer,Precursors,Compliance,"Adherence and compliance by OPM was substandard, and they regularly broke rules, in spite of warnings.",Somewhat Lenient,288
Unaddressed Failures & Weaknesses-OPM-Software Producer,OPM,Software Producer,Precursors,Unaddressed Failures & Weaknesses,"Massive unaddressed failures and weaknesses, including ongoing failures over time led to the breaches. ",Risky,289
Regimes-OPM-Regulator,OPM,Regulator,Precursors,Regimes,"The government maintained a strict regime to try and prevent data breaches, with enormous resources and thorough efforts towards prevention and accountability.",Strict,290
Capacity-OPM-Regulator,OPM,Regulator,Precursors,Capacity,"The government had enormous capacity to address potential cybersecurity failures and to ensure compliance by their agencies. However, some enforcement capacity, which was added later through CISA, was lacking at the time of the OPM breaches.",Somewhat Strong,291
Posturing-OPM-User,OPM,User,RRR,Posturing,"Users were active in making statements about the breach, particularly with support of their advocate unions and other orgs",Active,292
Compensating-OPM-User,OPM,User,RRR,Compensating,"Users sought compensation through lawsuits, represented by their unions. Cases were initially dismissed but proceeded after an appeal.",Active,293
Correcting-OPM-User,OPM,User,RRR,Correcting,Users had little recourse in correcting either the technology or the regime.,Passive,294
Complying-OPM-User,OPM,User,RRR,Complying,No documented compliance efforts,,295
Posturing-OPM-Software Producer,OPM,Software Producer,RRR,Posturing,"OPM was active in attempting to distract from the breach to regulators, diminish the scope of the breach, and were forced to speak regularly about the issue in-depth.",Active,296
Compensating-OPM-Software Producer,OPM,Software Producer,RRR,Compensating,"OPM initially provided credit monitoring for victims, but had limited options to go further than that without mandated actions. They eventually did have to pay modest damages to affected users.",Somewhat Favorable,297
Correcting-OPM-Software Producer,OPM,Software Producer,RRR,Correcting,"Correcting actions began in earnest to addresst the cybersecurity failures and technological issues after the 2nd breach was discovered. However, more could have been done, although they had some limitations.",Neither Passive Nor Active,298
Complying-OPM-Software Producer,OPM,Software Producer,RRR,Complying,"Complying with oversight requirements, including reporting the breaches and following cybersecurity rules had some major issues.",Somewhat Low,299
Posturing-OPM-Regulator,OPM,Regulator,RRR,Posturing,"Regulators from a variety of agencies were active in discussing the issues, particularly the House Oversight chair.",Active,300
Compensating-OPM-Regulator,OPM,Regulator,RRR,Compensating,"Courts mandated some compensation to users, but there were some limitations and even concerns about the credit monitoring expenses.",Neither Passive Nor Active,301
Correcting/Enforcing-OPM-Regulator,OPM,Regulator,RRR,Correcting/Enforcing,Investigations and enforcement efforts to bring OPM into compliance were rigorous.,Active,302
Complying-OPM-Regulator,OPM,Regulator,RRR,Complying,"With so many regulations in place, many regulators were very active and followed their required practices in response to the breach.",Active,303
Costs-OPM-User,OPM,User,Outcomes,Costs,"The actual costs to users cannot be known, mainly for those who may have been harmed by espionage action. Some users did have direct harms and were compensated.",Somewhat Unfavorable,304
Transformations-OPM-User,OPM,User,Outcomes,Transformations,New processes (or better adherence to existing ones) were established following the breach to better protect users.,Strong,305
Remedies-OPM-User,OPM,User,Outcomes,Remedies,"Users got some compensation, but not as much as other similar breaches. The highest risk users may have been even more negatively affected.",Neither Unfavorable Nor Favorable,306
Preservation-OPM-User,OPM,User,Outcomes,Preservation,"User behaviors and requirements were not affected, no other options really existed. But future security measures were put in place.",Neither Weak Nor Strong,307
Costs-OPM-Software Producer,OPM,Software Producer,Outcomes,Costs,"Costs were high for OPM, including technical fixes, human resources, damage to reputation, and more. The costs of fixing were investigated.",Unfavorable,308
Transformations-OPM-Software Producer,OPM,Software Producer,Outcomes,Transformations,"OPM drastically transformed their practices, and their leadership. Further changes to cybersecurity in the US gov were also a result.",Strong,309
Preservation-OPM-Software Producer,OPM,Software Producer,Outcomes,Preservation,"Eventually, some of the services performed by OPM were changed to another agency.",Neither Low Nor High,310
Remedies-OPM-Software Producer,OPM,Software Producer,Outcomes,Remedies,Additional resources were allocated for OPM to improve cybersecurity.,Neither Unfavorable Nor Favorable,319
Costs-OPM-Regulator,OPM,Regulator,Outcomes,Costs,"Regulators invested many resources to enforce and investigate the issues, as well as to help remediate future issues.",High,311
Remedies-OPM-Regulator,OPM,Regulator,Outcomes,Remedies,"Regulators had a strong incentive to remedy the situation, mainly by improving security standards, but also in providing remedies to victims.",Strong,312
Transformations-OPM-Regulator,OPM,Regulator,Outcomes,Transformations,"Regulators enhanced their oversight and improved rules enforcing cybersecurity. Many rules were already in place, but this incident raised awareness considerably.",Somewhat High,313
Preservation-OPM-Regulator,OPM,Regulator,Outcomes,Preservation,"Regulation and enforcement were improved, and new precedence was set in dealing with these issues. But overall, the roles and rules stayed the same.",Somewhat High,314